N sim VMP MCMC
500 1 24.89348 3889.179
500 2 88.63721 3359.49
500 3 44.92067 4129.418
500 4 31.5985 3878.324
500 5 78.22151 3183.934
500 6 90.38293 3461.663
500 7 33.91943 2140.134
500 8 101.4591 2986.245
500 9 124.5289 4942.601
500 10 82.24832 5692.672
500 11 68.46048 3537.998
500 12 39.85293 4031.131
500 13 76.35739 4750.941
500 14 87.63023 2915.778
500 15 38.44356 2428.261
500 16 57.55377 5382.947
500 17 141.3221 2890.172
500 18 29.13553 3863.064
500 19 52.45197 3815.648
500 20 52.16321 4264.819
500 21 87.93853 5247.644
500 22 111.0257 2476.211
500 23 130.2591 5536.597
500 24 18.73435 4843.912
500 25 101.8841 3160.503
500 26 68.25582 5329.673
500 27 37.94216 2829.217
500 28 36.17489 2523.06
500 29 25.32997 4492.805
500 30 19.75651 2270.831
500 31 18.64389 5297.692
500 32 30.04385 3446.009
500 33 46.06118 4617.683
500 34 128.2476 3243.308
500 35 73.12552 2700.3
500 36 50.37455 4589.716
500 37 35.13391 2068.359
500 38 90.01625 3897.618
500 39 76.62492 3699.203
500 40 32.42651 5427.848
500 41 106.8129 5877.716
500 42 120.8533 3129.745
500 43 68.0083 2765.019
500 44 95.70047 2430.147
500 45 36.9577 2425.469
500 46 117.9921 2659.444
500 47 56.68796 3023.538
500 48 24.86719 3002.549
500 49 52.73476 2087.017
500 50 22.295 4164.184
500 51 107.7576 2490.453
500 52 62.26889 3483.922
500 53 28.92233 1850.266
500 54 25.34613 2502.897
500 55 127.8625 3308.656
500 56 25.75128 2461.062
500 57 19.92689 3675.517
500 58 73.5466 3263.416
500 59 21.06715 3050.12
500 60 37.26348 3388.37
500 61 72.7869 1901.032
500 62 76.13438 1969.244
500 63 78.61422 3595.846
500 64 144.0144 4105.194
500 65 61.72043 4289.676
500 66 109.2507 4054.872
500 67 103.9806 3445.269
500 68 24.31506 6104.601
500 69 99.23395 4887.571
500 70 92.91143 2840.701
500 71 82.50998 4917.989
500 72 32.27896 4720.37
500 73 125.4199 2404.015
500 74 30.11748 4159.764
500 75 60.06172 3321.664
500 76 34.66735 2834.063
500 77 101.9987 2208.844
500 78 110.1666 2125.835
500 79 31.68211 3480.791
500 80 55.9472 4574.06
500 81 21.47953 3499.782
500 82 26.97444 3031.746
500 83 29.54305 4512.968
500 84 105.2832 5381.085
500 85 33.39639 3410.056
500 86 25.87409 3977.742
500 87 46.65311 2661.33
500 88 26.83964 3797.918
500 89 134.4546 5800.059
500 90 137.4442 5216.97
500 91 81.38444 3071.223
500 92 58.45292 4941.296
500 93 30.78635 2598.597
500 94 38.48209 2950.446
500 95 102.6773 3941.309
500 96 26.26111 5495.466
500 97 35.6513 2273.651
500 98 84.75489 4600.557
500 99 34.91434 3630.013
500 100 88.91088 3021.524
