N sim VMP MCMC
100 29 7.05678 439.1786
100 30 5.336994 396.0347
100 31 11.67685 349.6225
100 32 19.61611 482.7142
100 33 13.34473 439.5859
100 34 5.697727 335.6967
100 35 10.04172 483.422
100 36 7.708013 463.1793
100 37 17.41742 453.7728
100 38 34.49217 401.03
100 39 27.22217 353.4568
100 40 21.16607 419.2423
100 41 3.628091 444.596
100 42 9.378857 436.5038
100 43 11.62173 469.5467
100 44 7.982348 456.4508
100 45 13.28656 451.7898
100 46 8.162065 570.3809
100 47 16.15845 443.7042
100 48 17.25505 509.25
100 49 9.876265 499.2598
100 50 5.77506 443.616
100 51 12.1209 326.8752
100 52 13.39591 461.3881
100 53 7.755806 421.438
100 54 6.376888 395.1486
100 55 6.988794 475.724
100 56 8.648438 323.1272
100 57 7.090654 446.882
100 58 6.614902 454.7085
100 59 20.12545 460.2151
100 60 13.76526 455.5054
100 61 18.39764 446.8703
100 62 3.94088 500.0699
100 63 19.59289 369.4022
100 64 4.937652 442.7511
100 65 16.47272 515.77
100 66 5.110106 416.1175
100 67 7.420165 424.9
100 68 17.0955 460.7099
100 69 7.750943 473.9904
100 70 4.370104 442.3312
100 71 5.679058 475.74
100 72 4.069286 504.432
100 73 50.91892 507.0089
100 74 19.31262 496.1674
100 75 11.70848 373.8308
100 76 17.14632 421.2687
100 77 13.9082 384.444
100 78 36.97586 440.2342
100 79 19.34627 487.466
100 80 8.486915 437.5532
100 81 18.75125 374.5518
100 82 18.07312 430.8111
100 83 3.257066 470.2677
100 84 10.10159 464.5814
100 85 11.04035 491.7061
100 86 25.30981 499.544
100 87 11.30884 462.5713
100 88 15.1415 398.0328
100 89 3.625219 493.804
100 90 10.28221 331.6235
100 91 7.637849 412.1592
100 92 15.23959 509.1097
100 93 39.75909 456.3034
100 94 9.158131 464.9594
100 95 11.83457 492.8671
100 96 12.4316 464.0719
100 97 24.15828 458.9509
100 98 9.908831 442.1129
100 99 13.47432 373.6895
100 100 6.840038 443.646
