N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp Zeta_1_hat_vmp Zeta_2_hat_vmp
100 55 0.003957366 0.01540718 0.07293575 0.0586219 0.0003680611 0.008969423 0.01029528 0.4054911 0.5904851
100 56 0.002194521 0.001272067 0.003335857 0.01643344 0.005538883 0.008355727 0.006807669 0.7254022 0.6026305
100 57 0.01440272 0.007704923 0.01406112 0.01752722 0.001501282 0.008492811 0.01328193 0.4209299 0.7481379
100 58 0.004798211 0.01046195 0.03775772 0.0343686 0.002305221 0.005419892 0.006614013 0.4103589 0.5641846
100 59 0.007093845 0.009172539 0.03115728 0.01790039 0.001078427 0.00357953 1.990198 0.4018264 0.640551
100 60 0.0050654 0.0009980666 0.002444391 0.01828957 0.0007975576 0.003547275 1.984039 0.4406055 0.6368735
250 61 0.00269762 0.002441401 0.00994666 0.009475046 0.0005093309 0.01244268 0.01383117 0.3961381 0.6375702
250 62 0.003890753 0.0009148935 0.005332406 0.004333438 0.0003331399 0.006952467 0.008191261 0.3626556 0.559998
250 63 0.02796858 0.003034301 0.008357438 0.007398804 0.0001708816 0.00176249 0.003037862 0.4459303 0.5631842
250 64 0.00565236 0.00591659 0.01506633 0.01863714 0.0002269347 0.001886742 0.003341031 0.3829525 0.5634328
250 65 0.01583847 0.0004166025 0.004937072 0.006919831 0.0004707197 0.006973256 0.007584678 0.4311449 0.5751933
250 66 0.01381477 0.005427508 0.007812632 0.01135666 0.0002893011 0.001619658 0.003639853 0.3890286 0.5656254
250 67 0.00275036 0.007923007 0.01124995 0.02208117 0.0008865836 0.0462257 0.04683495 0.4252525 0.6380656
250 68 0.01459227 0.001570263 0.002574909 0.002633402 0.0003322817 0.001174391 0.003325262 0.3821361 0.5584501
250 69 0.02067085 0.004740401 0.0132739 0.01761233 5.488706e-05 0.002968596 0.005946852 0.4525681 0.5748032
250 70 0.018783 0.003029735 0.006490754 0.007707349 0.000267892 0.001949437 0.003579851 0.4122822 0.5605594
