N sim mu psi_1 psi_2
50 47 0.01662344 0.02164287 0.02849491
50 48 0.008009384 0.02532176 0.03786213
50 49 0.09506536 0.007936594 0.0259264
50 50 0.029335 0.01067785 0.0154278
50 51 0.01045089 0.005271174 0.01453141
50 52 0.003592141 0.01786804 0.05548186
50 53 0.0076473 0.04735902 0.05007389
50 54 0.005200049 0.009271898 0.01770306
50 55 0.02482935 0.006400215 0.007704364
50 56 0.004661332 0.02329681 0.02381056
50 57 0.00639678 0.003078285 0.0187527
50 58 0.00523972 0.004499904 0.02024944
50 59 0.02538254 0.002699064 0.03415668
50 60 0.0728792 0.003442893 0.02173582
50 61 0.006007813 0.00269534 0.01197685
50 62 0.02461333 0.01471731 0.05343506
50 63 0.03189828 0.004616454 0.02841653
50 64 0.01842906 0.006950084 0.01825991
50 65 0.003489999 0.05139154 0.04932396
50 66 0.007288471 0.005925345 0.05203789
50 67 0.07337229 0.01774307 0.03089167
50 68 0.07175373 0.007445726 0.02216473
50 69 0.017155 0.01852725 0.03035805
50 70 0.04791092 0.007969998 0.01531756
50 71 0.008940751 0.01130988 0.01627037
50 72 0.03341384 0.007773827 0.01238652
50 73 0.006940486 0.005228805 0.02517281
50 74 0.007902126 0.01529472 0.03034608
50 75 0.08693664 0.1124175 0.1061507
50 76 0.01399877 0.06706291 0.0851728
50 77 0.0127189 0.01397593 0.0282267
50 78 0.0114501 0.02928198 0.04231991
50 79 0.01306619 0.02906724 0.0402016
50 80 0.03363995 0.001324405 0.01761762
50 81 0.01381663 0.009221091 0.01592844
50 82 0.02675608 0.01745606 0.02853035
50 83 0.04050151 0.009553768 0.01885295
50 84 0.008885548 0.04400973 0.03881983
50 85 0.09544785 0.009488511 0.03123398
50 86 0.02282998 0.01043468 0.02611169
50 87 0.057801 0.05889944 0.0628182
50 88 0.03045869 0.01560485 0.02309524
50 89 0.005813483 0.005958999 0.01699151
50 90 0.01766732 0.004987946 0.03034758
50 91 0.003735226 0.02665175 0.03705071
50 92 0.107722 0.01126353 0.01036075
50 93 0.0367277 0.00625116 0.01686739
50 94 0.002290622 0.006059096 0.08188319
50 95 0.004898886 0.01438666 0.01339235
50 96 0.0820924 0.002741453 0.01817121
50 97 0.1223937 0.002228893 0.008928478
50 98 0.0101073 0.01923585 0.03405852
50 99 0.01485227 0.06160093 0.06769967
50 100 0.0103968 0.014668 0.02860604
100 1 0.00411955 0.005466675 0.01337831
100 2 0.02359931 0.001312291 0.006367627
100 3 0.01030602 0.001564409 0.02697812
100 4 0.003334148 0.004561063 0.02811029
100 5 0.00391168 0.004813167 0.01373953
100 6 0.009814992 0.005317111 0.0127208
100 7 0.06565944 0.003309873 0.008447846
100 8 0.03587827 0.004042699 0.008057606
100 9 0.01622145 0.005607852 0.006712672
100 10 0.003973139 0.002933061 0.006300314
100 11 0.002497461 0.00553751 0.006098724
100 12 0.007682086 0.002779254 0.009586965
100 13 0.002166306 0.005753643 0.01050635
100 14 0.01057669 0.004355452 0.008994756
100 15 0.0096951 0.001556555 0.00197458
100 16 0.005422009 0.002617475 0.008003365
100 17 0.002698722 0.006586214 0.02756639
100 18 0.01580257 0.004782155 0.02440576
100 19 0.007830292 0.002923389 0.007240624
100 20 0.004695105 0.003101551 0.005104464
100 21 0.004963944 0.002453013 0.01522852
100 22 0.03839073 0.004831294 0.009711038
100 23 0.005842624 0.001542528 0.01253039
100 24 0.007151336 0.00273911 0.01717101
100 25 0.02505297 0.002847806 0.005854387
100 26 0.03317498 0.005536573 0.01572785
100 27 0.02128371 0.002778724 0.01744104
100 28 0.009518957 0.005121013 0.00561498
100 29 0.01568545 0.003447437 0.007111155
100 30 0.01928752 0.001730602 0.00244056
100 31 0.02355611 0.004329854 0.004719456
100 32 0.006300565 0.004186816 0.01552165
100 33 0.01587782 0.01072804 0.01668888
100 34 0.01671301 0.00552071 0.01585784
100 35 0.006433899 0.00203934 0.01863564
100 36 0.006688386 0.003598999 0.006478823
100 37 0.01155334 0.01070293 0.01033392
100 38 0.007282266 0.02715815 0.0388774
100 39 0.00383627 0.007998141 0.01153943
100 40 0.002844535 0.004540985 0.02043245
100 41 0.004423172 0.007843853 0.01872593
100 42 0.006794559 0.004988083 0.01472045
100 43 0.0112414 0.004223807 0.01008296
100 44 0.01790386 0.0147524 0.01704892
100 45 0.003336011 0.01346249 0.03734372
100 46 0.0242128 0.004601838 0.009638519
100 47 0.005881784 0.002192121 0.020533
100 48 0.06415885 0.002305103 0.008988879
100 49 0.04242876 0.01227522 0.01226002
100 50 0.00830512 0.009430695 0.01763566
100 51 0.006941145 0.008307831 0.01943038
100 52 0.01230253 0.02347522 0.02359893
100 53 0.01571675 0.004983541 0.00562329
100 54 0.005740029 0.0103582 0.007030474
100 55 0.02791991 0.002013175 0.01175041
100 56 0.02375447 0.02729512 0.03579227
100 57 0.02943994 0.009857972 0.0236756
100 58 0.006064737 0.001964144 0.007336873
100 59 0.03646112 0.005103443 0.02267922
100 60 0.006107068 0.002964672 0.010043
100 61 0.03050876 0.03815982 0.04861537
100 62 0.01901471 0.002135334 0.01652186
100 63 0.006820536 0.009099996 0.03197463
100 64 0.01258167 0.01799585 0.02342767
100 65 0.06312139 0.01786683 0.01878553
100 66 0.04635065 0.006587252 0.008440657
100 67 0.02637231 0.002050601 0.00564412
100 68 0.002631599 0.01449492 0.01739589
100 69 0.008077992 0.002524983 0.01961553
100 70 0.005097551 0.00806058 0.01608688
100 71 0.01590557 0.00338048 0.006798274
100 72 0.02640226 0.017928 0.02270523
100 73 0.003687415 0.003610503 0.009198191
100 74 0.01166539 0.002042101 0.009027939
100 75 0.005084735 0.001105112 0.01599542
100 76 0.001253113 0.003821448 0.01891963
100 77 0.00346676 0.001212576 0.01093089
100 78 0.005272204 0.004376964 0.006863062
100 79 0.01579315 0.002099444 0.01288914
100 80 0.00467802 0.002035419 0.01361609
100 81 0.003483521 0.002174764 0.006806052
100 82 0.01008224 0.005437252 0.01165513
100 83 0.004140958 0.01332201 0.01953007
100 84 0.0022531 0.005015443 0.01448206
100 85 0.06210697 0.01123566 0.02167639
100 86 0.008357972 0.005859091 0.003664078
100 87 0.00615828 0.001436653 0.03658507
100 88 0.002831692 0.006364962 0.01281822
100 89 0.01183537 0.007659487 0.01480704
100 90 0.01304231 0.01164968 0.01304394
100 91 0.009797415 0.0223318 0.02328267
100 92 0.007861354 0.005776666 0.00967326
100 93 0.002720233 0.03991729 0.04968471
100 94 0.01883752 0.005404002 0.01429046
100 95 0.008121165 0.002109905 0.01517009
100 96 0.01091096 0.03055593 0.03142905
100 97 0.01711733 0.01751561 0.01131421
