N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
10 43 0.2202549 0.2211448 0.01647172 0.01767493 0.2297099 0.2171279 0.8539315 0.5348514 1.83066 0.4369828 1.055634 0.8119057
10 44 0.11833 0.1057903 0.1146519 0.08650731 0.20392 0.2079915 1.261712 0.6161436 1.555835 0.4637542 0.742323 0.7308537
10 45 0.4277456 0.413138 0.08746272 0.0821229 0.3515538 0.2962984 1.165896 0.6002444 0.1943073 0.4725237 0.8627255 0.8203639
10 46 0.2688172 0.4273304 0.1696317 0.1642452 0.2683359 0.3041838 0.6047374 0.3341187 1.013696 0.6476383 0.7523288 0.828154
10 47 0.3649298 0.3636558 0.07877187 0.08932616 0.968216 0.5529205 1.428558 0.6441739 1.108928 0.5894693 0.9725416 0.8493219
10 48 0.2731169 0.3079316 0.08375018 0.08548136 0.6400152 0.6948229 1.35086 0.5988246 1.769704 0.5273803 0.808843 0.8309696
10 49 0.05402037 0.1017428 0.1614398 0.2641642 1.71069 0.7018824 1.990619 0.6405991 1.137134 0.4736831 0.8302664 0.7952071
10 50 0.104388 0.1653929 0.995217 0.03051804 0.8655362 0.1610758 0.8141541 0.5780617 0.9310386 0.4970345 1.181105 0.8013553
10 51 0.0878241 0.09814782 0.02622221 0.0287119 0.1060854 0.1487009 0.9481199 0.5232491 0.6914614 0.4583626 0.6324357 0.6333029
10 52 0.07419534 0.1228572 0.1545344 0.03616185 0.3815049 0.192118 1.051554 0.3807771 0.3657975 0.5003034 0.8862027 0.7631312
10 53 0.314486 0.233057 0.0163264 0.01642688 1.364776 0.366334 1.77896 0.5367747 0.1097409 0.4639333 0.8241365 0.7788057
10 54 0.1308337 0.1265142 1.722086 0.5964737 1.79405 0.4673834 0.9947356 0.5174994 0.9776352 0.5236941 1.07371 0.8345048
10 55 0.4103855 0.4572857 0.0337741 0.0247431 0.1571779 0.1108989 1.212844 0.86651 1.851632 0.5873729 0.8264923 0.8578651
10 56 9.629099 0.09944333 1.94791 0.1714136 1.738342 0.3042811 1.899272 0.5391536 2 0.4576865 0.9350282 0.7883065
10 57 0.2379169 0.1379245 0.2070095 0.1857655 0.1495461 0.1906191 1.315344 0.403015 1.393936 0.6908852 0.8653915 0.8116412
10 58 0.1012748 0.195792 0.1022581 0.1206105 0.1401058 0.1994168 0.8363302 0.6346033 0.554798 0.4820383 0.7592094 0.7967252
10 59 0.0966395 0.1440508 0.02450768 0.0234659 0.7507679 0.6269673 1.801934 0.5763356 1.400948 0.4751781 0.7822629 0.8187942
10 60 0.02749762 0.03953788 0.08063783 0.04830194 1.018445 0.2194223 1.484994 0.4123533 0.2123425 0.3832377 0.8582195 0.7057572
10 61 0.2244738 0.1962948 0.1132795 0.1699932 0.3058017 0.4201496 1.309186 0.3838645 0.7074955 0.5693238 0.9453665 0.7752947
10 62 0.1859977 0.27333 1.511203 0.184391 1.732131 0.4708445 1.035465 0.7219571 0.3401152 0.6683958 1.03467 0.8521221
10 63 0.2043594 0.1953861 0.07949105 0.09191752 0.1491809 0.1992549 1.025586 0.3671097 0.3688403 0.5448146 0.8252819 0.7747138
10 64 0.07463034 0.07226449 0.07091583 0.1148152 0.5400263 0.3389294 0.8589802 0.3919451 0.2861242 0.4470332 1.028344 0.7567727
10 65 0.1760616 0.1391695 0.208534 0.1979885 0.6302788 0.5450627 1.665144 0.6192159 0.3399198 0.4381453 0.9077762 0.8973864
10 66 0.06517928 0.09296366 0.06782817 0.1395759 1.848502 0.665479 1.235636 0.4866814 1.715402 0.6060872 0.6868975 0.6655856
