N sim L evec_1_vmp evec_1_mcmc evec_2_vmp evec_2_mcmc evec_3_vmp evec_3_mcmc evec_4_vmp evec_4_mcmc evec_5_vmp evec_5_mcmc evec_6_vmp evec_6_mcmc
100 2 2 0.8054115 0.803239 1 1 1 1 1 1 1 1 1 1
100 2 4 0.7218977 0.7128658 0.898465 0.8926191 0.9701035 0.9686938 1 1 1 1 1 1
100 2 6 0.7429767 0.7138079 0.9251292 0.8923963 0.9999998 0.9671316 1 0.9999713 1 0.9999948 1 1
100 3 2 0.8738116 0.8730101 1 1 1 1 1 1 1 1 1 1
100 3 4 0.8183819 0.8137869 0.9420508 0.941039 0.9859737 0.9842405 1 1 1 1 1 1
100 3 6 0.8196814 0.8132971 0.9437188 0.9406062 0.9862662 0.9843888 0.9999955 0.9999686 1 0.9999953 1 1
100 4 2 0.8616519 0.8597005 1 1 1 1 1 1 1 1 1 1
100 4 4 0.7838081 0.783405 0.9213756 0.9221691 0.9760208 0.9751608 1 1 1 1 1 1
100 4 6 0.7819865 0.7812612 0.9199982 0.9214124 0.9750539 0.9745108 0.9988842 0.9999701 1 0.9999937 1 1
100 5 2 0.8307669 0.8317988 1 1 1 1 1 1 1 1 1 1
100 5 4 0.7631379 0.7565369 0.9207997 0.91687 0.9832945 0.980482 1 1 1 1 1 1
100 5 6 0.7620151 0.7570591 0.9193293 0.9168956 0.9825226 0.9805785 1 0.999983 1 0.9999949 1 1
100 6 2 0.7938779 0.7900337 1 1 1 1 1 1 1 1 1 1
100 6 4 0.7433729 0.715852 0.9424899 0.9162425 0.9999522 0.9743566 1 1 1 1 1 1
100 6 6 0.7185554 0.713353 0.9170793 0.914035 0.9737798 0.9738474 0.9999251 0.9999787 1 0.9999932 1 1
100 7 2 0.8181828 0.8140212 1 1 1 1 1 1 1 1 1 1
100 7 4 0.8125185 0.765762 0.9929878 0.9379556 1 0.9911911 1 1 1 1 1 1
100 7 6 0.7787867 0.7645287 0.9505489 0.936914 0.999838 0.9904197 1 0.9999779 1 0.9999973 1 1
100 8 2 0.8447028 0.8457055 1 1 1 1 1 1 1 1 1 1
100 8 4 0.7931666 0.7832754 0.9434178 0.937116 0.9913951 0.9882309 1 1 1 1 1 1
100 8 6 0.7993429 0.7823189 0.951404 0.9367882 0.9992731 0.9884 0.9999991 0.9999882 1 0.9999968 1 1
100 9 2 0.8098821 0.8086225 1 1 1 1 1 1 1 1 1 1
100 9 4 0.8196073 0.740224 0.9637586 0.9032017 0.9913215 0.9796199 1 1 1 1 1 1
100 9 6 0.7494826 0.7397398 0.9068923 0.9019195 0.982534 0.9782012 0.9998729 0.9999808 1 0.9999961 1 1
100 10 2 0.7689734 0.7641937 1 1 1 1 1 1 1 1 1 1
100 10 4 0.6952897 0.6916467 0.9096885 0.9067313 0.9812112 0.978082 1 1 1 1 1 1
100 10 6 0.6949623 0.6898569 0.9090843 0.9070726 0.979009 0.9776072 1 0.9999739 1 0.9999922 1 1
