N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp zeta_1_vmp zeta_2_vmp
10 57 0.2604834 0.07012788 0.3767422 0.3701454 0.007279618 0.06361378 1.857325 0.7644032 0.6655854
10 58 0.02877398 0.0177189 0.3932068 0.393298 0.02255785 0.1261361 1.900817 0.7165488 0.6357983
10 59 0.2288676 0.02247157 0.03626677 0.07213529 0.01109373 0.01592978 1.989217 0.6888194 0.6329936
10 60 0.2415686 0.003351408 0.2588614 0.3868424 0.01690908 0.04630929 1.969197 0.7428358 0.7675843
10 61 0.08129519 0.01991351 0.8279735 0.8385924 0.009935308 1.447854 1.929766 0.7808454 0.9785472
10 62 0.2348388 0.1301824 0.666784 0.6071853 0.009895162 0.01633804 1.853962 0.7945452 0.6191514
10 63 0.3424703 0.03767964 0.6089749 0.6897549 1.988524 1.874452 1.979886 0.8304349 1.032684
10 64 0.0502286 0.007434783 0.3111966 0.2936856 0.006925739 0.06050255 1.860236 0.6372318 0.6514524
10 65 0.1209801 0.005921016 0.5564809 0.6559775 0.01657434 0.04889004 1.920917 0.6553604 0.6723787
10 66 0.1094657 0.109835 0.06681391 0.2824661 0.006642336 1.426477 1.861629 0.5966303 1.017539
10 67 0.171842 0.01425329 0.09339192 0.3456055 0.807221 0.8121494 1.972815 0.6570159 0.8727491
10 68 0.2153107 0.0633771 0.06585749 0.0988179 0.01126235 1.41387 1.948782 0.7389544 0.7418928
10 69 0.1063006 0.05007539 0.2634215 0.2064435 0.01649684 0.02638262 1.980645 0.5435739 0.7624263
10 70 0.2174731 0.03650176 0.06775076 0.2368181 0.005803427 1.429596 1.885441 0.7956107 0.7561017
10 71 0.1643962 0.03982105 0.05509884 0.08560385 0.008298137 0.03357995 1.970245 0.6212039 0.7620458
10 72 0.2528259 0.3305333 1.839611 1.73611 0.01393551 1.368579 1.888612 0.9715966 0.7498949
10 73 0.08540574 0.01645401 0.122779 0.1178597 0.004816 1.460441 1.842428 0.5759953 0.7788252
10 74 0.1519357 0.02492595 0.01865215 0.0792441 0.006666181 0.02869288 1.971819 0.8330018 0.7632881
10 75 0.03423432 0.0273939 0.2405732 0.502557 0.0250855 1.469053 1.93725 0.5803836 0.7778362
10 76 0.04587606 0.1502551 0.1256164 0.4836181 0.004713989 1.510213 1.907423 0.6000942 1.298378
10 77 0.3513981 0.5020729 0.496452 0.08364978 0.5861346 0.6038812 1.980962 0.9818626 0.8361884
10 78 0.1684401 0.0195862 0.1264675 0.2264019 0.00441333 0.03220683 1.973509 0.6535882 0.6481019
10 79 0.0311433 0.02079725 0.6733275 0.7416974 0.0018462 0.09431211 1.876291 0.6432566 0.6816347
10 80 0.1431463 0.1566243 0.157746 0.09914304 0.01124453 1.452377 1.953446 0.7324645 0.769342
10 81 0.09384543 0.2637046 0.2137481 1.092835 0.01362058 0.03790342 1.955645 0.6647121 0.6372199
10 82 0.09769992 0.06001173 0.04957122 0.1652856 0.05511801 0.06515585 1.936147 0.5708939 0.8480257
10 83 0.2609756 0.003213033 0.01142256 0.8481263 0.004530331 1.42819 2.002496 0.7576543 0.7674855
10 84 0.04002258 0.02832554 0.06322395 0.1758708 0.004284122 1.438473 1.983389 0.4808383 0.7470744
10 85 0.01921345 0.03046095 1.181971 1.194103 0.01843575 0.1796449 1.825749 0.829236 0.6949908
10 86 0.07358465 0.6955655 0.9377005 0.3716157 0.01227836 1.40547 1.907833 0.852995 0.7755104
10 87 0.2899899 0.2682094 0.6769376 0.7928505 0.003375643 0.8972739 1.923728 0.9422323 0.7195737
10 88 0.1565635 0.07847118 0.1117192 0.1128813 0.002644877 1.41886 1.993145 0.6902524 1.008353
10 89 0.05061781 0.01824867 0.1239665 0.1360438 0.008719263 0.02963416 1.963038 0.5859352 0.6403319
10 90 0.02341425 0.1115698 0.2461156 0.1906459 0.006452248 1.420582 1.966365 0.5911462 0.7603464
10 91 0.02614937 0.03573701 0.02281737 0.2139346 0.01052518 0.0764606 1.974268 0.5742831 0.7500361
10 92 0.183653 0.03516134 0.807698 0.7427495 0.02539823 0.03379198 1.985741 0.7462166 0.6689725
10 93 0.08830156 0.1387126 0.4263571 0.3415116 0.01206819 0.0458434 1.999855 0.7333294 0.7655586
10 94 0.04479675 0.01166127 0.01384921 0.9112013 0.02059863 0.7858145 1.794823 0.5470935 0.7277272
10 95 0.5680878 0.1587077 0.05507113 0.3304852 0.004682368 1.369701 1.816161 0.9246955 0.7417868
10 96 0.3177545 0.01402583 0.04629334 0.05016379 0.01277781 0.02287032 1.964322 0.7887445 0.897642
10 97 0.1990083 0.007347049 0.06242676 0.06502758 0.003427813 0.1004014 1.877891 0.6276587 0.6527533
10 98 0.1913343 0.6373735 1.009995 0.9496798 0.01566529 1.462624 1.955563 0.9037866 0.9868783
10 99 0.06211633 0.009452065 0.0623919 0.1578842 0.02543077 0.02359604 1.939932 0.5916116 0.6591589
10 100 0.05626829 0.04239054 0.3091357 0.3091891 0.002843699 0.02687657 1.997329 0.6105553 0.6457949
50 1 0.05255607 0.001581099 0.01906175 0.01413065 0.01693452 0.06029248 0.04376642 0.5037088 0.8046222
50 2 0.05846434 0.005421445 0.005950279 0.01685065 0.002204462 0.01235326 0.01336908 0.5260306 0.560522
50 3 0.05245891 0.006904187 0.06230937 0.04633423 0.001641416 0.004358399 1.993212 0.4704229 0.6259787
50 4 0.01854642 0.01456392 0.02220645 0.01722505 0.001297377 0.009154005 0.02449116 0.4581462 0.6075094
50 5 0.05272801 0.02519972 0.06992659 0.06622388 0.003135044 0.009984095 1.986751 0.5901358 0.6830031
50 6 0.02083735 0.03731405 0.03660179 0.02623652 0.001342001 0.006844235 0.01555456 0.4901655 0.5791341
50 7 0.02151628 0.004336686 0.05297901 0.02584878 0.00115257 0.003937174 1.923538 0.8109856 0.6640966
50 8 0.02905607 0.004156887 0.003035646 0.0276259 0.003769717 0.01284251 0.0187316 0.4448759 0.5712353
50 9 0.02093514 0.001962617 0.005536689 0.05153768 0.001359848 0.007112032 0.02010061 0.3670965 0.6078516
50 10 0.03941676 0.04930427 0.03569297 0.04926225 0.007062463 0.04956722 0.4486836 0.5553706 0.7427204
50 11 0.006822931 0.001887542 0.01161151 0.0994431 0.001155541 0.02839778 1.921874 0.3578525 0.6399875
50 12 0.008484946 0.00620573 0.02343515 0.0145306 0.004672712 0.01002951 1.998439 0.4068496 0.6460658
50 13 0.03022203 0.05570109 0.05895814 0.02215743 0.002084137 0.004960221 0.0051195 0.5799184 0.627328
50 14 0.009294512 0.007136563 0.02160557 0.004368198 0.002431374 0.005436696 0.01282099 0.4826417 0.5922862
50 15 0.02549075 0.01031886 0.05925289 0.01127518 0.0007354061 0.008328253 1.987991 0.7280289 0.642417
50 16 0.004888567 0.03003145 0.03145425 0.02937003 0.002941129 0.01175783 1.984213 0.4410599 0.6615921
50 17 0.02691567 0.04741802 0.07996096 0.03072038 0.001377079 0.002552863 0.005579322 0.5227063 0.6411487
50 18 0.01515122 0.04268336 0.05653415 0.02836164 0.001623376 0.002154432 0.01201063 0.539689 0.7496649
50 19 0.04490209 0.009777467 0.08014684 0.06552511 0.00146334 0.005976641 1.984131 0.5488855 0.6423769
50 20 0.006098253 0.03608825 0.03313881 0.01712743 0.001679373 0.005268782 0.009847008 0.4434565 0.758427
50 21 0.005833313 0.006762906 0.01942462 0.02654299 0.001632372 0.005847661 1.962419 0.4551479 0.6354276
50 22 0.002291858 0.007381364 0.02170431 0.0621233 0.002690165 0.02339541 1.933961 0.3801205 0.8843106
50 23 0.07280804 0.07590564 0.06633917 0.06800639 0.002025578 0.004958034 1.996995 0.6240286 0.6302908
50 24 0.01914232 0.01645217 0.01714214 0.05385223 0.001299096 0.004825875 0.007660665 0.4168915 0.5741079
50 25 0.02717864 0.004359339 0.01500852 0.02417866 0.001532814 0.004686437 0.008977762 0.4353391 0.5820171
50 26 0.002121958 0.007375094 0.02340562 0.02699837 0.001316174 0.007698565 0.008270928 0.4048997 0.5852434
50 27 0.07961351 0.04788086 0.08032091 0.0136617 0.0006501966 0.01233401 0.01331094 0.639359 0.6061359
50 28 0.01398524 0.01594134 0.01462121 0.04193987 0.001177698 0.00903882 2.001634 0.4477212 0.6383152
50 29 0.0300311 0.004450693 0.03913513 0.03761901 0.005458432 0.0104006 1.995069 0.5235132 0.647341
50 30 0.00723573 0.02932818 0.05890155 0.05226202 0.002608426 0.008269486 1.964877 0.4756543 0.8976304
50 31 0.006946988 0.02782068 0.04428315 0.05830255 0.00191791 0.01582412 0.02239579 0.5372084 0.5869076
50 32 0.01821342 0.01594491 0.04947157 0.05026041 0.001400421 0.003452442 0.009039395 0.4910561 0.5777816
50 33 0.009795528 0.001907555 0.01208525 0.0620205 0.002714395 0.002219065 0.01260432 0.3524384 0.5794853
50 34 0.06583051 0.01120498 0.2329836 0.2540832 0.001871847 0.00651649 1.979343 0.554212 0.6364053
50 35 0.003761701 0.003147183 0.1213941 0.1424895 0.004501835 0.009563385 1.992262 0.4805178 0.6491245
50 36 0.003643957 0.01216408 0.09450492 0.1195227 0.006091452 0.00772722 0.0100144 0.4430736 0.7664709
50 37 0.03909997 0.006183232 0.009729687 0.009602024 0.001665186 0.01324671 1.96162 0.5070442 0.6420676
50 38 0.009324485 0.02143906 1.096174 1.069376 0.00459664 0.0254344 0.02980287 0.7513814 0.5674415
50 39 0.007912353 0.02602519 0.04178456 0.01553579 0.001455293 0.0039793 1.992577 0.4507315 0.6370681
50 40 0.1323234 0.02875247 0.0995004 0.0736348 0.0006001654 0.01080943 0.01408075 0.6651906 0.5753101
50 41 0.03488175 0.003421113 0.1980202 0.193861 0.001380915 0.004201538 0.009731997 0.5053904 0.5735056
50 42 0.005479537 0.008042627 0.09657476 0.109764 0.003839958 0.01169831 0.01190749 0.4543107 0.5975241
50 43 0.03852529 0.002883949 0.07212708 0.07413092 0.001496512 0.01016887 1.998076 0.6128675 0.6382945
50 44 0.01292451 0.01523616 0.02619148 0.04015346 0.00273593 0.01034991 1.974042 0.4353647 0.6247643
50 45 0.04997211 0.01699297 0.01133197 0.01157615 0.001557918 0.004130834 0.009839462 0.5701397 0.592832
50 46 0.0350232 0.005914938 0.007611954 0.02632451 0.002778695 0.006894734 0.007716006 0.4567556 0.7420142
50 47 0.02991161 0.02914025 0.03683898 0.03434578 0.0012037 0.006282456 1.644538 0.4937645 0.6442287
50 48 0.005681773 0.01719167 0.05813857 0.09557286 0.00762927 0.01411776 1.947913 0.4167743 0.6369714
50 49 0.009250276 0.01466455 0.004620948 0.03480317 0.003322871 0.00866187 0.01478155 0.4855316 0.7856005
50 50 0.04851557 0.008589689 0.0208957 0.03487203 0.001124228 0.01455328 0.01940143 0.5136458 0.6384001
50 51 0.007707136 0.004108185 0.01581817 0.03033189 0.003089105 0.007435623 0.02028175 0.3809803 0.784376
50 52 0.02269742 0.0241051 0.0274916 0.0804469 0.003357292 0.03779367 0.03740276 0.4941978 0.6654334
50 53 0.005910509 0.004774572 0.05636649 0.06261665 0.0007416596 0.005236871 1.992813 0.3931343 0.9358183
