N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 28 0.03715836 0.03985831 0.185889 0.156246 0.2587069 0.2242448 0.6453862 0.2181703 0.01958513 0.01693519 1.174577 0.1524445 1.815388 0.1588478 0.596387 0.6016962 0.8139492 0.6134691
10 29 0.09178789 0.08282375 0.07853416 0.1240257 0.9948133 0.9700689 0.9162302 0.847716 0.005574291 0.006382301 0.03687894 0.03673593 1.980196 0.05576739 0.7765887 0.7743757 0.6424505 0.5936774
10 30 0.01550899 0.02312783 1.472065 1.337924 1.524927 1.376615 0.8604063 0.1405092 1.2057 0.004210553 1.241491 0.06111916 1.858231 0.1343967 0.8968325 0.8827213 0.8794886 0.5640992
10 31 0.2336859 0.1513924 0.0327308 0.04220109 0.1672836 0.1660636 0.1617958 0.09416661 0.004677891 0.00462355 1.56701 0.01568438 1.843236 0.05655401 0.7730088 0.7050753 0.7463115 0.5663088
10 32 0.02473201 0.04207816 0.02220188 0.02206509 0.5714703 0.3281686 0.7014515 0.3244954 0.004738533 0.003617419 0.06755627 0.05038496 1.899739 0.04233683 0.5904244 0.5552816 0.6644507 0.5836402
10 33 0.2528115 0.2833453 0.02137352 0.03726156 1.394329 0.4322652 1.451886 0.4469482 0.003548572 0.006868558 0.04033222 0.02816007 1.968356 0.02881527 0.8958197 0.7997567 0.7704606 0.6017493
10 34 0.6114982 0.3460007 0.09378691 0.07913398 0.2275881 0.3032437 0.432506 0.3592701 0.008399933 0.00766145 1.516509 0.06478371 1.854184 0.08992826 0.9340624 0.8542784 1.011984 0.586264
10 35 0.04100515 0.06562438 0.02829278 0.0268846 0.4462871 0.426753 0.5681208 0.5200548 0.004916488 0.005383518 0.06086502 0.06009297 1.971177 0.1735965 0.6767932 0.7020021 0.6350039 0.5991479
10 36 0.04133072 0.04505429 0.3831857 0.3150905 0.9348456 0.4858235 0.700776 0.593794 0.0151244 0.00901972 1.444034 0.02021885 1.950015 0.0311148 0.7951159 0.7562124 0.9874299 0.5841308
10 37 0.05010717 0.04858645 0.1381036 0.1605637 0.1495742 0.1703703 0.08195351 0.08394392 0.0223436 0.02411884 0.02741323 0.02789968 1.835068 0.06807545 0.6553651 0.6470288 0.6606455 0.6107746
10 38 0.1137438 0.139022 0.09460729 0.1052179 0.6804939 0.6469315 0.7021387 0.6295914 0.004022897 0.001825209 1.582416 0.02836134 1.933052 0.04452642 0.7327911 0.7581939 0.7636064 0.5863747
10 39 0.08331324 0.08781304 0.03665193 0.02626081 0.03523376 0.04436509 0.1460575 0.1474491 0.01924704 0.01768946 0.0263639 0.0276473 1.925509 0.05616898 0.5529861 0.6106163 0.7758901 0.6023323
10 40 0.1100752 0.07901591 0.222716 0.1305651 0.1991437 0.124445 0.6421568 0.1606559 0.6193182 0.006399724 0.6301729 0.009612763 1.930522 0.04828403 0.687108 0.5804153 0.9301152 0.5842638
10 41 0.1707269 0.04069317 0.01567948 0.01407275 0.06742826 0.117133 0.2420472 0.1537141 1.781464 0.008243593 1.796619 0.03460013 1.983985 0.05480833 0.6243865 0.5119454 0.9785654 0.5757584
10 42 0.131643 0.1502336 0.09435435 0.1000502 0.2710582 0.3301223 0.9403284 0.4063682 0.008384143 0.01079995 1.452879 0.01993716 1.761104 0.05706772 0.7684275 0.7474496 1.288314 0.5724067
10 43 0.03128401 0.03652051 0.169518 0.1909192 1.743677 1.001454 1.805002 0.8547397 0.007309736 0.007950837 1.423029 0.04954065 1.965625 0.06165385 0.7302817 0.6945771 0.7802033 0.5976049
10 44 0.02522543 0.02811975 0.02876364 0.03123321 0.03695618 0.04983981 0.767186 0.4361733 0.0069568 0.007087452 0.02216465 0.02695184 1.903306 0.03928378 0.4512153 0.4562409 0.6235263 0.5602365
10 45 0.1098219 0.09236998 1.035202 0.8899685 1.122214 0.9280883 0.2238743 0.2023096 0.005699165 0.005421674 0.01984726 0.01887805 1.938626 0.07897324 0.8463201 0.8326099 0.7941312 0.6085821
10 46 0.06685509 0.01791185 0.05329965 0.06230014 1.11827 1.275421 1.14622 1.214559 0.0044974 0.005583803 1.416279 0.05341218 1.884708 0.05638372 0.7674448 0.7167726 0.7547387 0.5850172
10 47 0.4401575 0.3641413 0.07668023 0.04951542 0.0648616 0.04058064 0.04483134 0.04582896 0.007413286 0.00987306 0.02955742 0.03492712 2.000533 0.05887033 0.8183303 0.7868303 0.6226128 0.5703248
10 48 0.09008413 0.1149499 0.02481842 0.0229649 0.8244084 0.8239096 1.014053 0.9644012 0.01181082 0.009268374 0.07868996 0.08025397 1.845011 0.1020514 0.7158538 0.7170694 0.6736035 0.6258183
10 49 0.1288914 0.1444513 0.01441521 0.01527498 0.1297359 0.1292348 0.2669959 0.2400636 0.002624654 0.002157816 0.02140209 0.02515707 1.984622 0.07539979 0.6324149 0.6347066 0.6421407 0.555735
10 50 0.02928382 0.02398112 0.1163564 0.1153832 0.1192408 0.0946691 0.2070926 0.195233 0.007460808 0.00734579 0.01081501 0.01383345 1.979974 0.02051407 0.5674772 0.5337604 0.6598779 0.5843121
10 51 0.02174383 0.0172414 0.237177 0.2084873 0.1774796 0.1707272 0.3189906 0.2957467 0.008631924 0.009665849 0.0359419 0.02587227 1.973801 0.06050422 0.6371783 0.6564429 0.6404571 0.5659656
10 52 0.1686797 0.08134696 0.07667275 0.09443992 0.07574421 0.08518327 0.04800937 0.04619756 0.00783993 0.01144527 0.01587569 0.0234737 1.987736 0.03460506 0.7308364 0.6440587 0.7550794 0.585027
10 53 0.05212787 0.02206045 0.1365278 0.161571 0.4416158 0.405778 0.4364925 0.3243669 0.03761893 0.03350203 1.468196 0.03450073 1.954824 0.05830482 0.7717221 0.6586006 0.9788378 0.6182486
10 54 0.1225332 0.0485492 0.0135046 0.02108215 0.06278697 0.06705243 0.2496815 0.2226228 0.009675241 0.009970608 0.0205929 0.01604307 1.933194 0.1235039 0.5790776 0.5028425 0.6533315 0.5981981
