N sim iter vmp mcmc
50 100 26 39.25085 14626.67
100 1 287 635.497 37158.38
100 2 187 421.2195 27824.99
100 3 229 554.2969 40147.26
100 4 168 421.2761 33096.34
100 5 307 620.1102 28090.41
100 6 366 731.1095 35090.47
100 7 195 401.0713 41744.24
100 8 319 647.1989 25084.7
100 9 181 372.1847 26912.6
100 10 157 328.7663 30136.46
100 11 116 258.9998 45755.32
100 12 319 632.2932 27132.01
100 13 147 310.0536 28413.57
100 14 154 319.8572 24026.68
100 15 143 300.7049 33103.59
100 16 108 234.3355 34504.78
100 17 235 464.4377 38101.36
100 18 500 977.1556 31160.92
100 19 28 83.59501 24854.02
100 20 106 233.4197 32312.89
100 21 111 243.0654 33046.28
100 22 61 148.5985 48798.7
100 23 220 469.5242 50218.32
100 24 213 454.6103 32366.28
100 25 179 374.9011 31806.96
100 26 265 558.0875 22463.95
100 27 64 152.3062 35821.69
100 28 307 645.2115 48790.09
100 29 301 636.7088 34174.76
100 30 169 357.4921 30716.91
100 31 259 544.2187 41867.54
100 32 243 485.1531 29978.29
100 33 245 573.7204 29396.53
100 34 333 683.5861 25152.67
100 35 32 89.43744 21830.84
100 36 55 132.9172 29517.51
100 37 146 315.7169 32568.71
100 38 278 569.521 35969.8
100 39 303 617.8052 30478.09
100 40 96 206.6156 47032.89
100 41 418 842.483 29138.6
100 42 134 343.9895 28488.7
100 43 271 558.1189 28580.18
100 44 173 362.5149 27736.13
100 45 175 377.8742 32063.13
100 46 269 560.712 32510.26
100 47 51 127.9681 36171.53
100 48 172 361.7994 45511.93
100 49 195 410.2814 32949.53
100 50 500 1050.178 37506.53
100 51 495 1040.464 34456.42
100 52 102 227.1018 32982.02
100 53 62 147.623 29757.4
100 54 234 485.1849 35933.21
100 55 285 586.716 35924.53
100 56 306 593.3705 26690.83
100 57 230 453.1835 40081.88
100 58 122 251.9525 29105.98
100 59 293 551.0026 19607.25
100 60 500 975.9563 22627.29
100 61 500 937.22 32280.99
100 62 240 468.5285 26169.96
100 63 237 463.361 28597.36
