N sim iter vmp mcmc
100 1 72 18.57688 551.2629
100 2 61 15.75361 518.8156
100 3 167 41.18033 529.5516
100 4 196 47.95161 626.2304
100 5 47 12.63897 634.1206
100 6 62 16.29969 638.4798
100 7 54 14.30396 622.6958
100 8 73 18.94779 607.1597
100 9 104 26.32105 627.4404
100 10 48 12.88685 621.6607
100 11 46 12.42634 720.2204
100 12 91 23.36535 626.2758
100 13 53 14.12607 637.5111
100 14 42 11.46833 611.0816
100 15 50 13.33195 805.5046
100 16 9 3.382723 598.026
100 17 55 14.52428 567.7035
100 18 46 12.32283 601.9918
100 19 51 13.56429 565.9383
100 20 38 10.52589 604.8536
100 21 90 23.06931 633.3965
100 22 32 9.031808 648.4726
100 23 68 17.88862 597.8855
100 24 46 12.40706 558.078
100 25 52 13.88593 589.7016
100 26 13 4.432958 583.4899
100 27 54 14.40536 577.8261
100 28 49 12.87341 630.8732
100 29 65 16.76934 571.6573
100 30 75 19.25972 596.9247
100 31 82 20.83752 663.2384
100 32 74 18.98246 632.7824
100 33 74 19.02398 585.1317
100 34 48 12.69852 608.0966
100 35 64 16.6716 635.2756
100 36 65 16.82666 585.6896
100 37 42 11.37442 603.8985
100 38 51 13.45895 585.7234
100 39 42 11.38842 559.2406
100 40 42 11.15467 545.6251
100 41 53 13.87903 590.798
100 42 148 36.49166 618.7368
100 43 46 12.17344 594.2126
100 44 50 13.09302 625.106
100 45 68 17.63668 591.3401
100 46 74 18.96206 612.5046
100 47 43 11.57772 580.6532
100 48 54 14.14558 601.1423
100 49 35 9.679626 632.7743
100 50 42 11.2588 572.1749
100 51 25 7.376631 574.057
100 52 57 15.92657 621.3571
100 53 142 37.57349 669.1555
100 54 60 16.72112 649.5714
100 55 62 17.72139 658.7383
100 56 110 29.45324 675.4927
100 57 61 17.0164 662.1406
100 58 74 20.61584 617.723
100 59 170 45.35388 642.4432
100 60 62 17.33202 666.9296
100 61 127 33.65653 689.6456
100 62 78 21.26752 619.1784
100 63 114 30.5188 814.2668
100 64 46 13.23528 639.7863
100 65 46 13.3391 622.2488
100 66 66 18.17199 657.7054
100 67 54 15.25802 638.9377
100 68 25 7.563667 587.7739
100 69 32 9.380547 612.7243
100 70 344 88.24716 620.1947
100 71 50 13.88341 613.3307
100 72 61 16.8362 580.0581
100 73 60 16.4658 586.4703
100 74 50 13.94263 619.1269
100 75 60 16.37022 658.5736
100 76 27 8.132134 606.0075
100 77 54 14.95214 613.6315
100 78 139 36.8422 604.8845
100 79 58 16.0488 585.8104
100 80 27 8.027532 544.1052
100 81 40 11.14737 595.7201
100 82 200 50.19805 543.1841
100 83 62 16.62497 519.6933
100 84 74 19.12139 567.6271
100 85 79 20.50296 621.4864
100 86 44 11.84924 592.1132
100 87 398 100.1209 618.1114
100 88 45 12.17268 634.2753
100 89 46 12.40145 593.4881
100 90 47 12.62455 606.0026
100 91 70 18.30628 599.1347
100 92 62 16.24563 618.4553
100 93 500 124.7357 610.4084
100 94 53 14.13056 607.4787
100 95 58 15.35642 633.148
100 96 33 9.246574 594.0579
100 97 75 19.45363 642.0269
100 98 346 85.0505 558.9058
100 99 65 16.91494 599.969
100 100 48 12.8277 592.923
250 1 11 8.74939 2228.762
250 2 52 32.7805 1710.65
250 3 40 25.87687 1713.066
250 4 78 48.77262 2025.886
250 5 48 30.71909 2181.864
250 6 46 29.25503 2282.296
250 7 42 27.20495 1900.922
250 8 42 33.56335 3096.337
250 9 46 36.71616 3208.725
250 10 116 87.78749 3205.874
250 11 45 36.02578 2754.004
250 12 40 32.48202 2699.463
250 13 61 47.58154 3667.548
250 14 109 82.96634 3597.623
250 15 40 32.57086 3641.471
250 16 265 218.0646 3544.592
250 17 54 42.55226 3544.912
250 18 500 406.8486 3383.604
250 19 36 29.52058 3528.308
250 20 48 30.52859 1754.659
250 21 498 310.7463 2137.281
250 22 36 23.45591 2663.786
250 23 48 30.74042 2128.473
250 24 42 27.07986 2620.551
250 25 39 25.25731 2589.624
250 26 27 18.22723 2660.099
250 27 48 30.90898 2061.524
250 28 115 71.16586 2578.304
250 29 62 39.07128 2569.165
250 30 40 25.82926 2618.664
250 31 54 34.33291 2672.353
250 32 348 242.1139 1884.382
250 33 47 35.20885 2047.815
250 34 34 25.44812 2454.808
250 35 52 38.21759 2111.847
250 36 50 36.7218 1863.255
250 37 54 39.78914 2617.548
250 38 36 26.76925 2610.519
250 39 42 31.08476 2024.046
250 40 48 35.03041 2615.467
250 41 48 35.40589 2614.667
250 42 50 36.90582 2270.787
250 43 139 97.78432 2598.652
250 44 36 23.47155 1844.753
250 45 36 23.46509 2592.149
250 46 46 29.4993 2575.77
250 47 171 104.6357 2016.022
250 48 50 31.90835 2670.982
250 49 46 29.55941 2468.989
250 50 50 32.00147 2476.748
250 51 42 27.24798 2748.265
250 52 27 18.37536 2385.715
250 53 50 32.06635 1798.914
250 54 40 25.8125 1964.938
250 55 42 27.3218 2560.211
250 56 44 27.7955 2037.91
250 57 59 36.54513 2430.415
250 58 36 23.08345 1965.375
250 59 44 27.91828 2301.391
250 60 45 28.42581 1884.144
250 61 34 22.10875 2570.38
250 62 44 27.91613 2155.348
250 63 62 38.61434 2586.027
250 64 42 26.9033 2545.194
250 65 42 26.93144 2616.37
250 66 68 41.97133 2452.848
250 67 46 29.27007 2459.506
250 68 58 44.72433 3210.275
250 69 40 32.05462 3574.239
250 70 40 31.93388 2629.764
250 71 49 38.76978 3585.417
250 72 54 42.12569 3171.972
250 73 112 83.91952 3240.645
250 74 36 29.17555 3671.607
250 75 42 34.02886 3482.127
250 76 24 20.63055 2967.646
250 77 62 48.49151 3503.989
250 78 45 36.09954 3265.287
250 79 60 47.11889 2969.457
250 80 47 35.01991 1980.693
250 81 500 355.9046 1841.443
250 82 52 38.71495 2571.001
250 83 64 46.98903 2596.75
250 84 44 33.19007 2177.912
250 85 42 32.0043 2532.49
250 86 102 71.47293 1940.803
250 87 4 5.020082 2547.442
250 88 46 33.15835 2419.525
250 89 89 63.00419 2478.57
250 90 39 28.61795 2537.09
250 91 44 32.03008 2597.726
250 92 42 27.07283 2517.604
250 93 42 27.0398 2014.096
250 94 48 30.54245 1996.403
250 95 40 25.90747 2600.742
250 96 500 311.3951 1949.987
250 97 42 27.18245 1818.779
250 98 44 28.299 2715.788
250 99 48 30.90936 2269.571
250 100 57 36.1012 2629.647
500 1 44 62.51023 3984.363
500 2 32 47.26553 4977.529
500 3 47 66.37926 5425.052
500 4 51 70.97949 4340.37
500 5 38 54.28132 4468.928
500 6 58 80.45474 5302.347
500 7 175 239.3067 4924.423
500 8 52 72.8648 5327.606
500 9 24 35.59177 4902.444
500 10 38 55.44213 5196.84
500 11 47 65.62573 5167.717
500 12 58 79.71617 5257.832
500 13 32 46.07128 4402.262
500 14 22 32.87316 5037.515
500 15 55 75.95085 4894.035
500 16 28 41.03603 5864.205
500 17 40 56.53802 5202.47
500 18 54 75.04186 4911.9
500 19 458 608.1797 5132.433
500 20 40 50.40971 5452.656
500 21 33 42.2245 6200.237
500 22 42 52.56965 5548.414
500 23 36 46.00727 5787.94
500 24 49 60.90085 5579.478
500 25 46 57.43802 5609.587
500 26 38 48.42142 5909.432
500 27 40 50.37778 5684.791
500 28 31 39.96348 5625.897
500 29 79 97.00033 5097.149
500 30 47 58.92405 5759.489
500 31 37 47.13915 5643.894
500 32 38 48.59159 5837.596
500 33 54 66.87111 5984.154
500 34 38 48.52397 5866.018
500 35 50 62.52961 5846.064
500 36 38 48.52413 6174.758
500 37 42 53.1416 5479.568
500 38 17 23.66311 5540.282
500 39 42 83.63242 8099.697
500 40 54 78.56182 10770.78
500 41 38 57.28417 10806.36
500 42 40 59.50381 10632.46
500 43 46 68.10678 9371.636
500 44 107 137.211 6298.215
500 45 40 63.7011 5346.128
500 46 42 66.75711 5754.104
500 47 463 676.7276 5846.32
500 48 37 58.95217 5899.1
500 49 46 73.04487 5545.558
500 50 44 69.60657 6448.611
500 51 41 54.9527 4612.166
500 52 32 43.56791 5806.868
500 53 40 53.26396 4518.387
500 54 54 70.87604 5428.858
500 55 42 55.68745 4755.049
